Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
48839,Man,46.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Senior executive/VP,32,21.0,"Independent contractor, freelancer, or self-employed",54480.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",20y+,1.0
48840,Man,28.0,Spain,Some college/university study without earning a degree,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",15,5.0,"Independent contractor, freelancer, or self-employed",140527.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",40.0,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,2-5y,3.0
48841,Man,32.0,France,Not stated,"Developer, front-end;Developer, mobile",20,11.0,Employed full-time,70264.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,35.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,3.0
48842,Man,27.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack;DevOps specialist;Educator;Engineer, data;Engineer, site reliability;Scientist;System administrator",8,2.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,40.0,Industry that I’d be working in;How widely used or impactful my work output would be;Opportunities for professional development,0-2y,4.0
48843,Man,26.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",11,6.0,Employed full-time,54049.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,5-10y,2.0
48844,Man,23.0,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,8,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
48845,Man,41.0,Denmark,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data scientist or machine learning specialist;Developer, back-end;Scientist",30,15.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",8.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,10-20y,3.0
48846,Man,29.0,Belgium,Some college/university study without earning a degree,"Developer, back-end;Developer, mobile",17,6.0,Employed full-time,59454.0,Very dissatisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,39.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",5-10y,0.0
48848,Man,22.0,Netherlands,"Associate degree (A.A., A.S., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",6,,Employed part-time,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,,
48849,Man,32.0,Croatia,Some college/university study without earning a degree,"Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;DevOps specialist;Educator",12,8.0,"Independent contractor, freelancer, or self-employed",,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,60.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",5-10y,4.0
48850,Man,47.0,Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",26,26.0,Employed full-time,39348.0,Very dissatisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,50.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,20y+,0.0
48851,Man,,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;System administrator",12,3.0,Employed full-time,46704.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,3.0
48852,Man,37.0,Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Engineering manager",26,15.0,Employed full-time,48644.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",8.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Remote work options",10-20y,3.0
48854,Man,44.0,Spain,Some college/university study without earning a degree,"Database administrator;Designer;Developer, full-stack",33,22.0,Employed full-time,25944.0,Very satisfied,I am not interested in new job opportunities,Once every few years,2 to 9 employees,40.0,Office environment or company culture;Opportunities for professional development;Family friendliness,20y+,4.0
48855,Man,32.0,Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",18,9.0,Employed full-time,21408.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Remote work options",5-10y,3.0
48856,Man,36.0,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",20,12.0,Employed full-time,75492.0,Very dissatisfied,I am not interested in new job opportunities,Once a year,"1,000 to 4,999 employees",50.0,Remote work options;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,10-20y,0.0
48857,Man,34.0,Hungary,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack",15,12.0,Employed full-time,19248.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",10-20y,3.0
48858,Man,22.0,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",14,4.0,"Independent contractor, freelancer, or self-employed",24300.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,2 to 9 employees,30.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,4.0
48859,Man,37.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;Educator;System administrator",25,15.0,Employed full-time,35132.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,32.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Family friendliness",10-20y,0.0
48860,Man,,Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",18,9.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",5-10y,3.0
48861,Man,23.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Data scientist or machine learning specialist;Engineer, data",5,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,,
48862,Man,24.0,Croatia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",6,,Employed full-time,26124.0,Very satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,40.0,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,,4.0
48863,Man,21.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",6,3.0,Employed full-time,,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",2-5y,1.0
48864,Man,25.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Product manager;Senior executive/VP",10,3.0,"Independent contractor, freelancer, or self-employed",172957.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,60.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",2-5y,0.0
48865,Man,23.0,Norway,Some college/university study without earning a degree,Not stated,2,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",,
48866,Man,26.0,Croatia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",8,3.0,Employed full-time,17412.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",2-5y,3.0
